payment_year,hcpcs_cpt_code,included_flag
2023,G0071,yes
2023,G0129,yes
2023,G0151,yes
2023,G0152,yes
2023,G0153,yes
2023,G0155,yes
2023,G0159,yes
2023,G0160,yes
2023,G0161,yes
2023,G0186,yes
2023,G0245,yes
2023,G0246,yes
2023,G0248,yes
2023,G0249,yes
2023,G0250,yes
2023,G0257,yes
2023,G0259,yes
2023,G0260,yes
2023,G0268,yes
2023,G0276,yes
2023,G0339,yes
2023,G0340,yes
2023,G0341,yes
2023,G0342,yes
2023,G0343,yes
2023,G0378,yes
2023,G0379,yes
2023,G0380,yes
2023,G0381,yes
2023,G0382,yes
2023,G0383,yes
2023,G0384,yes
2023,G0396,yes
2023,G0397,yes
2023,G0402,yes
2023,G0406,yes
2023,G0407,yes
2023,G0408,yes
2023,G0409,yes
2023,G0412,yes
2023,G0413,yes
2023,G0414,yes
2023,G0415,yes
2023,G0425,yes
2023,G0426,yes
2023,G0427,yes
2023,G0428,yes
2023,G0429,yes
2023,G0438,yes
2023,G0439,yes
2023,G0443,yes
2023,G0446,yes
2023,G0447,yes
2023,G0448,yes
2023,G0455,yes
2023,G0459,yes
2023,G0460,yes
2023,G0463,yes
2023,G0465,yes
2023,G0466,yes
2023,G0467,yes
2023,G0468,yes
2023,G0469,yes
2023,G0470,yes
2023,G0473,yes
2023,G0491,yes
2023,G0492,yes
2023,G0498,yes
2023,G0508,yes
2023,G0509,yes
2023,G0511,yes
2023,G0512,yes
2023,G0516,yes
2023,G0517,yes
2023,G0518,yes
2023,G2000,yes
2023,G2010,yes
2023,G2011,yes
2023,G2012,yes
2023,G2025,yes
2023,G2068,yes
2023,G2069,yes
2023,G2070,yes
2023,G2071,yes
2023,G2072,yes
2023,G2073,yes
2023,G2074,yes
2023,G2075,yes
2023,G2082,yes
2023,G2083,yes
2023,G2086,yes
2023,G2087,yes
2023,G2214,yes
2023,G2250,yes
2023,G2251,yes
2023,G2252,yes
2023,G3002,yes
2023,H0007,yes
2023,H0008,yes
2023,H0009,yes
2023,H0010,yes
2023,H0011,yes
2023,H0012,yes
2023,H0013,yes
2023,H0014,yes
2023,H0015,yes
2023,H0016,yes
2023,H0020,yes
2023,H0050,yes
2023,H1000,yes
2023,H1001,yes
2023,H1002,yes
2023,H1003,yes
2023,H1004,yes
2023,H1005,yes
2023,H2033,yes
2023,M0075,yes
2023,M0076,yes
2023,M0100,yes
2023,M0300,yes
