payment_year,diagnosis_code,age_at_diag_min,age_at_diag_max,age_last_min,age_last_max,sex,hhs_hcc
2023,A0101,NA,NA,NA,NA,NA,3
2023,A0102,NA,NA,NA,NA,NA,135
2023,A0104,NA,NA,NA,NA,NA,55
2023,A0105,NA,NA,NA,NA,NA,55
2023,A021,NA,NA,NA,NA,NA,2
2023,A0221,NA,NA,NA,NA,NA,3
2023,A0223,NA,NA,NA,NA,NA,55
2023,A0224,NA,NA,NA,NA,NA,55
2023,A064,NA,NA,NA,NA,NA,35.1
2023,A065,NA,NA,NA,NA,NA,163
2023,A066,NA,NA,NA,NA,NA,3
2023,A072,NA,NA,NA,NA,NA,6
2023,A170,NA,NA,NA,NA,NA,3
2023,A171,NA,NA,NA,NA,NA,3
2023,A1781,NA,NA,NA,NA,NA,3
2023,A1782,NA,NA,NA,NA,NA,3
2023,A1783,NA,NA,NA,NA,NA,3
2023,A1789,NA,NA,NA,NA,NA,3
2023,A179,NA,NA,NA,NA,NA,3
2023,A203,NA,NA,NA,NA,NA,3
2023,A207,NA,NA,NA,NA,NA,2
2023,A227,NA,NA,NA,NA,NA,2
2023,A267,NA,NA,NA,NA,NA,2
2023,A2781,NA,NA,NA,NA,NA,3
2023,A310,NA,NA,NA,NA,NA,6
2023,A312,NA,NA,NA,NA,NA,6
2023,A3211,NA,NA,NA,NA,NA,3
2023,A3212,NA,NA,NA,NA,NA,3
2023,A327,NA,NA,NA,NA,NA,2
2023,A3282,NA,NA,NA,NA,NA,135
2023,A34,9,64,NA,NA,female,3
2023,A35,NA,NA,NA,NA,NA,3
2023,A3681,NA,NA,NA,NA,NA,130
2023,A381,NA,NA,NA,NA,NA,135
2023,A390,NA,NA,NA,NA,NA,3
2023,A391,NA,NA,NA,NA,NA,30
2023,A392,NA,NA,NA,NA,NA,2
2023,A393,NA,NA,NA,NA,NA,2
2023,A394,NA,NA,NA,NA,NA,2
2023,A3950,NA,NA,NA,NA,NA,135
2023,A3951,NA,NA,NA,NA,NA,135
2023,A3952,NA,NA,NA,NA,NA,135
2023,A3953,NA,NA,NA,NA,NA,135
2023,A3981,NA,NA,NA,NA,NA,3
2023,A3983,NA,NA,NA,NA,NA,55
2023,A3984,NA,NA,NA,NA,NA,55
2023,A400,NA,NA,NA,NA,NA,2
2023,A401,NA,NA,NA,NA,NA,2
2023,A403,NA,NA,NA,NA,NA,2
2023,A408,NA,NA,NA,NA,NA,2
2023,A409,NA,NA,NA,NA,NA,2
2023,A4101,NA,NA,NA,NA,NA,2
2023,A4102,NA,NA,NA,NA,NA,2
2023,A411,NA,NA,NA,NA,NA,2
2023,A412,NA,NA,NA,NA,NA,2
2023,A413,NA,NA,NA,NA,NA,2
2023,A414,NA,NA,NA,NA,NA,2
2023,A4150,NA,NA,NA,NA,NA,2
2023,A4151,NA,NA,NA,NA,NA,2
2023,A4152,NA,NA,NA,NA,NA,2
2023,A4153,NA,NA,NA,NA,NA,2
2023,A4159,NA,NA,NA,NA,NA,2
2023,A4181,NA,NA,NA,NA,NA,2
2023,A4189,NA,NA,NA,NA,NA,2
2023,A419,NA,NA,NA,NA,NA,2
2023,A427,NA,NA,NA,NA,NA,2
2023,A4281,NA,NA,NA,NA,NA,3
2023,A4282,NA,NA,NA,NA,NA,3
2023,A480,NA,NA,NA,NA,NA,153
2023,A481,NA,NA,NA,NA,NA,163
2023,A483,NA,NA,NA,NA,NA,2
2023,A5004,NA,NA,NA,NA,NA,163
2023,A5040,NA,NA,NA,NA,NA,3
2023,A5041,NA,NA,NA,NA,NA,3
2023,A5042,NA,NA,NA,NA,NA,3
2023,A5043,NA,NA,NA,NA,NA,3
2023,A5044,NA,NA,NA,NA,NA,3
2023,A5045,NA,NA,NA,NA,NA,3
2023,A5049,NA,NA,NA,NA,NA,3
2023,A5054,NA,NA,NA,NA,NA,135
2023,A5055,NA,NA,NA,NA,NA,55
2023,A5141,NA,NA,NA,NA,NA,3
2023,A5200,NA,NA,NA,NA,NA,135
2023,A5201,NA,NA,NA,NA,NA,135
2023,A5202,NA,NA,NA,NA,NA,135
2023,A5203,NA,NA,NA,NA,NA,135
2023,A5205,NA,NA,NA,NA,NA,149
2023,A5206,NA,NA,NA,NA,NA,135
2023,A5209,NA,NA,NA,NA,NA,135
2023,A5210,NA,NA,NA,NA,NA,3
2023,A5211,NA,NA,NA,NA,NA,3
2023,A5212,NA,NA,NA,NA,NA,3
2023,A5213,NA,NA,NA,NA,NA,3
2023,A5214,NA,NA,NA,NA,NA,3
2023,A5215,NA,NA,NA,NA,NA,3
2023,A5216,NA,NA,NA,NA,NA,3
2023,A5217,NA,NA,NA,NA,NA,3
2023,A5219,NA,NA,NA,NA,NA,3
2023,A522,NA,NA,NA,NA,NA,3
2023,A523,NA,NA,NA,NA,NA,3
2023,A5440,NA,NA,NA,NA,NA,55
2023,A5441,NA,NA,NA,NA,NA,55
2023,A5442,NA,NA,NA,NA,NA,55
2023,A5443,NA,NA,NA,NA,NA,55
2023,A5449,NA,NA,NA,NA,NA,55
2023,A5481,NA,NA,NA,NA,NA,3
2023,A5482,NA,NA,NA,NA,NA,3
2023,A5483,NA,NA,NA,NA,NA,135
2023,A5485,NA,NA,NA,NA,NA,42
2023,A5486,NA,NA,NA,NA,NA,2
2023,A666,NA,NA,NA,NA,NA,55
2023,A6921,NA,NA,NA,NA,NA,3
2023,A6923,NA,NA,NA,NA,NA,55
2023,A800,NA,NA,NA,NA,NA,3
2023,A801,NA,NA,NA,NA,NA,3
2023,A802,NA,NA,NA,NA,NA,3
2023,A8030,NA,NA,NA,NA,NA,3
2023,A8039,NA,NA,NA,NA,NA,3
2023,A804,NA,NA,NA,NA,NA,3
2023,A809,NA,NA,NA,NA,NA,3
2023,A820,NA,NA,NA,NA,NA,3
2023,A821,NA,NA,NA,NA,NA,3
2023,A829,NA,NA,NA,NA,NA,3
2023,A830,NA,NA,NA,NA,NA,3
2023,A831,NA,NA,NA,NA,NA,3
2023,A832,NA,NA,NA,NA,NA,3
2023,A833,NA,NA,NA,NA,NA,3
2023,A834,NA,NA,NA,NA,NA,3
2023,A835,NA,NA,NA,NA,NA,3
2023,A836,NA,NA,NA,NA,NA,3
2023,A838,NA,NA,NA,NA,NA,3
2023,A839,NA,NA,NA,NA,NA,3
2023,A840,NA,NA,NA,NA,NA,3
2023,A841,NA,NA,NA,NA,NA,3
2023,A8481,NA,NA,NA,NA,NA,3
2023,A8489,NA,NA,NA,NA,NA,3
2023,A849,NA,NA,NA,NA,NA,3
2023,A850,NA,NA,NA,NA,NA,3
2023,A851,NA,NA,NA,NA,NA,3
2023,A852,NA,NA,NA,NA,NA,3
2023,A858,NA,NA,NA,NA,NA,3
2023,A86,NA,NA,NA,NA,NA,3
2023,A870,NA,NA,NA,NA,NA,4
2023,A871,NA,NA,NA,NA,NA,4
2023,A872,NA,NA,NA,NA,NA,4
2023,A878,NA,NA,NA,NA,NA,4
2023,A879,NA,NA,NA,NA,NA,4
2023,A880,NA,NA,NA,NA,NA,4
2023,A888,NA,NA,NA,NA,NA,3
2023,A89,NA,NA,NA,NA,NA,3
2023,A922,NA,NA,NA,NA,NA,3
2023,A9230,NA,NA,NA,NA,NA,3
2023,A9231,NA,NA,NA,NA,NA,3
2023,A9232,NA,NA,NA,NA,NA,3
2023,A9239,NA,NA,NA,NA,NA,3
2023,B003,NA,NA,NA,NA,NA,4
2023,B004,NA,NA,NA,NA,NA,3
2023,B007,NA,NA,NA,NA,NA,2
2023,B0082,NA,NA,NA,NA,NA,110
2023,B010,NA,NA,NA,NA,NA,4
2023,B0111,NA,NA,NA,NA,NA,3
2023,B0112,NA,NA,NA,NA,NA,110
2023,B020,NA,NA,NA,NA,NA,3
2023,B021,NA,NA,NA,NA,NA,4
2023,B0224,NA,NA,NA,NA,NA,110
2023,B050,NA,NA,NA,NA,NA,3
2023,B051,NA,NA,NA,NA,NA,4
2023,B0601,NA,NA,NA,NA,NA,3
2023,B0602,NA,NA,NA,NA,NA,4
2023,B0682,NA,NA,NA,NA,NA,55
2023,B1001,NA,NA,NA,NA,NA,3
2023,B1009,NA,NA,NA,NA,NA,3
2023,B150,NA,NA,NA,NA,NA,35.1
2023,B160,NA,NA,NA,NA,NA,35.1
2023,B162,NA,NA,NA,NA,NA,35.1
2023,B1711,NA,NA,NA,NA,NA,35.1
2023,B180,NA,NA,NA,NA,NA,37.2
2023,B181,NA,NA,NA,NA,NA,37.2
2023,B182,NA,NA,NA,NA,NA,37.1
2023,B188,NA,NA,NA,NA,NA,37.2
2023,B189,NA,NA,NA,NA,NA,37.2
2023,B190,NA,NA,NA,NA,NA,35.1
2023,B1911,NA,NA,NA,NA,NA,35.1
2023,B1921,NA,NA,NA,NA,NA,35.1
2023,B20,NA,NA,NA,NA,NA,1
2023,B250,NA,NA,NA,NA,NA,6
2023,B251,NA,NA,NA,NA,NA,6
2023,B252,NA,NA,NA,NA,NA,6
2023,B252,NA,NA,NA,NA,NA,47
2023,B258,NA,NA,NA,NA,NA,6
2023,B259,NA,NA,NA,NA,NA,6
2023,B261,NA,NA,NA,NA,NA,4
2023,B262,NA,NA,NA,NA,NA,3
2023,B263,NA,NA,NA,NA,NA,47
2023,B2682,NA,NA,NA,NA,NA,135
2023,B2685,NA,NA,NA,NA,NA,55
2023,B2702,NA,NA,NA,NA,NA,4
2023,B2712,NA,NA,NA,NA,NA,4
2023,B2782,NA,NA,NA,NA,NA,4
